dateannounced,detectedstate,numcases
2020-09-22,Delhi,3816
2020-09-22,Maharashtra,18390
2020-09-22,Tamil Nadu,5337
2020-09-22,West Bengal,3182
2020-09-23,Delhi,3714
2020-09-23,Maharashtra,21029
2020-09-23,Tamil Nadu,5325
2020-09-23,West Bengal,3189
2020-09-24,Delhi,3834
2020-09-24,Maharashtra,19164
2020-09-24,Tamil Nadu,5692
2020-09-24,West Bengal,3196
2020-09-25,Delhi,3827
2020-09-25,Maharashtra,17794
2020-09-25,Tamil Nadu,5679
2020-09-25,West Bengal,3190
2020-09-26,Delhi,3372
2020-09-26,Maharashtra,20419
2020-09-26,Tamil Nadu,5647
2020-09-26,West Bengal,3181
2020-09-27,Delhi,3292
2020-09-27,Maharashtra,18056
2020-09-27,Tamil Nadu,5791
2020-09-27,West Bengal,3185
2020-09-28,Delhi,1984
2020-09-28,Maharashtra,11921
2020-09-28,Tamil Nadu,5589
2020-09-28,West Bengal,3155
2020-09-29,Delhi,3227
2020-09-29,Maharashtra,14976
2020-09-29,Tamil Nadu,5546
2020-09-29,West Bengal,3188
2020-09-30,Delhi,3390
2020-09-30,Maharashtra,18317
2020-09-30,Tamil Nadu,5659
2020-09-30,West Bengal,3281
2020-10-01,Delhi,3037
2020-10-01,Maharashtra,16476
2020-10-01,Tamil Nadu,5688
2020-10-01,West Bengal,3275
2020-10-02,Delhi,2920
2020-10-02,Maharashtra,15591
2020-10-02,Tamil Nadu,5595
2020-10-02,West Bengal,3310
2020-10-03,Delhi,2258
2020-10-03,Maharashtra,14348
2020-10-03,Tamil Nadu,5622
2020-10-03,West Bengal,3340
2020-10-04,Delhi,2683
2020-10-04,Maharashtra,12548
2020-10-04,Tamil Nadu,5489
2020-10-04,West Bengal,3357
2020-10-05,Delhi,1947
2020-10-05,Maharashtra,10244
2020-10-05,Tamil Nadu,5395
2020-10-05,West Bengal,3348
2020-10-06,Delhi,2676
2020-10-06,Maharashtra,12258
2020-10-06,Tamil Nadu,5017
2020-10-06,West Bengal,3370
2020-10-07,Delhi,2871
2020-10-07,Maharashtra,14578
2020-10-07,Tamil Nadu,5447
2020-10-07,West Bengal,3455
2020-10-08,Delhi,2726
2020-10-08,Maharashtra,13395
2020-10-08,Tamil Nadu,5088
2020-10-08,West Bengal,3526
